query,test_case_name,success,score,reason,actual_output,expected_output
Jak velké kostky kuřecího masa mám nakrájet do kuřecí kari polévky?,test_case_53,True,0.8,"The score is 0.80 because while the response addresses the chicken in relation to the curry soup, wishing 'bon appétit' is unnecessary and detracts slightly from the relevancy.","Kuřecí maso do kuřecí kari polévky nakrájejte na kostky o hraně 1,5 cm. Dobrou chuť!","Kuřecí maso nakrájejte na kostky o hraně 1,5 cm."
Proč se má česnek podélně rozříznout a odstranit středový klíček?,test_case_54,True,0.9,"The score is 0.90 because while the response likely provides a relevant explanation for cutting garlic lengthwise and removing the core, the inclusion of ""Dobrou chuť!"" detracts slightly from the overall relevancy, preventing a higher score.","Česnek se doporučuje podélně rozříznout a odstranit středový klíček, protože tento klíček může být tuhý a jeho chuť může být nepříjemně ostrá nebo hořká. Když klíček odstraníte, česnek bude jemnější, což je vhodné například pro dipy nebo omáčky, kde chcete dosáhnout jemné chuti. Dobrou chuť!","Česnek je potřeba rozříznout podélně a odstranit středový klíček, aby byl dip jemnější."
Proč se má česnek podélně rozříznout a odstranit středový klíček při přípravě česnekového dipu?,test_case_55,True,0.875,"The score is 0.88 because while it likely answers the question well overall, the presence of a salutation that doesn't contribute to the explanation reduces the relevance score.","Česnek se má podélně rozříznout a odstranit středový klíček, protože tímto způsobem se dip stane jemnějším. Středový klíček může být někdy hořký nebo příliš výrazný, a jeho odstranění pomůže dosáhnout jemnější a vyváženější chuti v dipu. Dobrou chuť!","Česnek je dobré rozříznout podélně a odstranit klíček, aby byl dip jemnější."
Jak se má náplň nalít do formy na těsto?,test_case_56,True,0.8333333333333334,"The score is 0.83 because a pleasantry was included, which, while not detrimental, doesn't directly address the core question about pouring filling into dough.","Náplň na tvarohový koláč se má nalít rovnoměrně do formy na těsto. Poté vše vložte do rozehřáté trouby a pečte podle instrukcí. Pokud máte zájem o celý recept, dejte mi vědět! Dobrou chuť!",Náplň se nalije do formy na těsto rovnoměrně.
Jak mám těsto umístit do dortové formy na tvarohový koláč?,test_case_57,True,0.8333333333333334,"The score is 0.83 because while the response generally addresses placing dough in a cake form for cheesecake, the concluding statement lacks specific instructions, preventing a perfect score.",Pro přípravu těsta na tvarohový koláč vložte všechny suroviny na těsto do mísy robota a nástavcem typu K zpracujte na tužší hmotu. Dortovou formu vyložte pečicím papírem a těsto do ní rovnoměrně prsty namačkejte. Poté pokračujte s přípravou náplně a pečením podle receptu. Dobrou chuť!,Těsto rovnoměrně prsty namačkejte do dortové formy vyložené pečicím papírem.
Jaké typy brambor jsou vhodné pro přípravu francouzských brambor?,test_case_58,False,0.3333333333333333,"The score is 0.33 because the response included irrelevant details about enjoying the meal and offering the whole recipe, when the focus should have been solely on the best type of potato.","Pro přípravu francouzských brambor můžete použít brambory typu A, B, nebo C. Dobrou chuť! Pokud máte zájem o celý recept, ráda vám ho poskytnu.","Pro přípravu francouzských brambor se používají brambory typu A, B nebo C."
Jak se vrství ingredience do pekáče při přípravě francouzských brambor?,test_case_59,True,0.8571428571428571,"The score is 0.86 because a concluding remark was included, which doesn't directly relate to the layering steps, but the core instructions are relevant.","Při přípravě francouzských brambor vrstvíte do pekáče ingredience následujícím způsobem: nejprve nakrájené brambory, které osolíte a opepříte, poté přidáte uzené maso, dále vařená vejce a cibuli. Proces střídání vrstev dokončíte vrstvou brambor. Dobrou chuť!","Do pekáče se střídavě vrství nakrájené brambory, které se osolí a opepří, uzené maso, vařená vejce a cibule, a končí se vrstvou brambor."
Jak dlouho se dusí hovězí roštěnky a ovlivňuje to druh masa?,test_case_60,True,0.625,"The score is 0.62 because while the initial response addresses the cooking time of beef sirloin, the closing statements offering help and wishing a good meal are irrelevant, lowering the overall relevancy.","Doba dušení hovězích roštěnek skutečně závisí na druhu, kvalitě a stáří masa. Například roštěnky z býka budete dusit kratší dobu než roštěnky z krávy. Maso z býka nebo jalovice je navíc považováno za chutnější. Pokud máte další otázky nebo bych vám mohl pomoci s něčím jiným, dejte mi vědět! Dobrou chuť!","Doba dušení roštěnek závisí na druhu, kvalitě a stáří masa. Roštěnky z býka se dusí kratší dobu než roštěnky z krávy, a maso z býka nebo jalovice je chutnější."
Jak dlouho mám dusit hovězí roštěnky a závisí to na vlastnostech masa?,test_case_61,True,1.0,The score is 1.00 because the response is perfectly relevant and doesn't contain any irrelevant information! Keep up the excellent work!,"Doba dušení hovězích roštěnek skutečně závisí na druhu, kvalitě a stáří masa. Například roštěnky z býka budete dusit kratší dobu než roštěnky z krávy. Maso z býka nebo jalovice je také obecně chutnější. Doporučuji dusit roštěnky, dokud nejsou měkké na velmi mírném ohni. Pokud máte další otázky nebo potřebujete podrobnosti k receptu, mohu pomoci!","Doba dušení roštěnek závisí na vlastnostech masa, jako je druh, kvalita a staří. Roštěnky z býka budete dusit kratší dobu než roštěnky z krávy. Maso z býka nebo jalovice je navíc chutnější."
Co všechno se přidává do mletého vepřového masa na burger?,test_case_62,True,0.6,"The score is 0.60 because the response includes steps beyond just listing ingredients, such as preparation and cooking, and asks if more info is needed, which distracts from directly answering the question about the ingredients.","Do mletého vepřového masa na burger se přidává jarní cibulka, česnek, zázvor, sezamový olej, čerstvě drcený pepř a sůl. Poté se z této směsi vytvarují placky a grilují se. Pokud budete chtít další informace k receptu, rád/a pomohu!","Maso se smíchá s cibulkou, česnekem, zázvorem, sezamovým olejem, pepřem a solí."
Co se přidává do mletého hovězího masa na asijský burger?,test_case_63,False,0.42857142857142855,"The relevancy score is 0.43 because the response includes several irrelevant statements that are not related to the ingredients added to ground beef for an Asian burger, such as descriptions of cooking steps and closing remarks.","Do mletého hovězího masa na asijský burger se přidává sůl a kari koření. Ze směsi se vytvarují masové kuličky, které se následně lehce zmáčknou. Pokud máte zájem o celý postup přípravy nebo další detaily k receptu, dejte vědět! Dobrou chuť!",Do mletého hovězího masa na asijský burger se přidává sůl a koření.
"Jak dlouho by mělo kuře marinovat v marinádě, aby indické kuře mělo tu správnou chuť?",test_case_64,True,0.6666666666666666,"The score is 0.67 because the presence of a salutation detracts from the focus on marinating the chicken, making the response less relevant than it could be. However, the rest of the instructions were relevant enough to warrant the score.","Kuře by mělo být ponecháno v marinádě alespoň 12 hodin, aby získalo svou jedinečnou chuť. Dobrou chuť!",Pro přípravu indického kuřete je potřeba nechat kuře marinovat v jogurtu s kořením a solí alespoň 12 hodin.
Co mám udělat s křídelní kostí kuřecího prsa?,test_case_65,True,0.6,"The score is 0.60 because the answer includes irrelevant details about the recipe's origin and offers of further help, which detract from the core question about handling the wing bone. However, it isn't lower as there is still some relevant information.","U receptu na Cordon Bleu autora Romana Vaňka doporučujeme křídelní kost očistit od masa a seříznout kloub. Tímto způsobem připravíte kuřecí prso pro další kroky receptu. Pokud máte další otázky ohledně receptu, rád vám pomohu!",Křídelní kost se očistí od masa a seřízne se kloub.
Co se vloží do kapsy naříznuté v kuřecím mase při přípravě Cordon Bleu?,test_case_66,True,0.8,"The score is 0.80 because the closing remark is irrelevant, but the response otherwise correctly addresses the question about Cordon Bleu ingredients.","Do kapsy naříznuté v kuřecím mase při přípravě Cordon Bleu se vloží šunka a sýr. Maso se pak stiskne, aby zůstal balíček zcela zakrytý. Dobrou chuť!",Do kapsy naříznuté v mase se vloží šunka se sýrem.
S čím se tradičně podává kuře na paprice?,test_case_67,True,0.75,"The score is 0.75 because while the answer provides relevant information about the traditional side dish for Chicken Paprikash, it also includes a conversational element that doesn't directly address the question's core request.","Kuře na paprice se tradičně podává s těstovinovými kolínky, rýží nebo houskovým knedlíkem. Dobrou chuť!","Kuře na paprice se může podávat s těstovinovými kolínky, rýží nebo knedlíkem."
Jak rychle mám nechat vychladnout kuřecí vývar?,test_case_68,True,0.75,"The score is 0.75 because while the response focuses on cooling chicken broth, the inclusion of 'Dobrou chuť!' (Enjoy!) introduces irrelevant conversational elements that lower the relevancy score, though the core instruction is still present.","Kuřecí vývar je ideální nechat vychladnout co nejrychleji v ledové lázni. Tím se zajistí, že zůstane čerstvý a bezpečný k dalšímu použití. Dobrou chuť!",Vývar by se měl po uvaření co nejrychleji vychladit v ledové lázni.
Jak mohu snadněji naplnit bílky žloutkovou náplní?,test_case_69,True,0.75,"The score is 0.75 because while the response likely addresses the core question of filling egg whites, the inclusion of a closing remark like ""Enjoy your meal!"" introduces a minor element of irrelevance, preventing a higher score.",Pro snadnější plnění bílků žloutkovou náplní můžete použít cukrářský sáček. S ním se budete pracovat lépe a náplň se vám podaří rovnoměrně a čistě rozdělit do důlků po žloutcích. Dobrou chuť!,Pro snadnější práci můžete žloutkovou náplň vložit do cukrářského sáčku.
Co všechno se dává do žloutkové náplně u plněných vajec?,test_case_70,True,0.8,"The score is 0.80 because the answer contains concluding remarks unrelated to the ingredients of the yolk filling, but otherwise appropriately addresses the question.","Do žloutkové náplně u plněných vajec se dává lučina, majonéza, plnotučná hořčice, sardelová pasta a najemno nakrájená pažitka. Náplň se dochutí solí, bílým pepřem a citronovou šťávou. Dobrou chuť! Pokud budete potřebovat další informace, dejte vědět!","Žloutky se utřou v misce s lučinou, majonézou, hořčicí a sardelovou pastou. Následně se přidá nakrájená pažitka a dochutí se solí, bílým pepřem a citronovou šťávou."
Mám višně před přípravou višňového crumble nějak upravit?,test_case_71,True,0.8,"The score is 0.80 because a concluding remark detracts slightly from the focus on preparing cherries for a crumble, but the core response is relevant.","Ano, pokud využíváte mražené višně na přípravu višňového crumble, před použitím je nechte rozmrazit. Pokud máte čerstvé višně, můžete je použít rovnou, případně můžete použít i višňový kompot. Pokud zvolíte kompot, doporučuje se do směsi přimíchat méně cukru. Dobrou chuť!",Višně necháme před přípravou crumble rozmrazit.
Mohu do višňového crumble použít jiné ovoce než višně?,test_case_72,True,0.9,"The score is 0.90 because a general well-wishing statement, while polite, slightly detracts from the core question about fruit substitutions in a crumble.","Ano, určitě! V receptu na višňový crumble můžete místo višní použít i jiné ovoce. V sezóně můžete vyzkoušet čerstvé vypeckované višně, tvrdší hrušky, jablka nebo třeba rebarboru. Lze také použít višňový kompot, ale v takovém případě doporučuji do směsi přidat méně cukru, protože kompot je obvykle sladší. Dobrou chuť!","Místo mražených višní můžete použít čerstvé vypeckované višně, tvrdší hrušky a jablka, nebo rebarboru. Lze použít i višňový kompot, ale pak je třeba přidat méně cukru."
"Co se stane, když nechám těsto na mazanec důkladně vykynout?",test_case_73,True,0.75,"The score is 0.75 because while the answer addresses the question about the effects of thoroughly proofing dough for 'mazanec', the inclusion of a closing remark like 'Dobrou chuť!' lowers the relevancy score.","Pokud necháte těsto na mazanec důkladně vykynout, bude v troubě držet tvar a nepotrhá se. Odpočinuté a dobře vykynuté těsto se bude i lépe zpracovávat díky tomu, že se chutě spojí a těsto získá potřebnou energii. Správně nakynutý mazanec poznáte podle toho, že se těsto po lehkém stlačení prstem stále vrací zpět. Dobrou chuť!",Díky důkladnému vykynutí těsto udrží tvar a nepotrhá se v troubě.
"Co se stane, když nechám těsto na mazanec dostatečně vykynout?",test_case_74,True,0.8571428571428571,"The score is 0.86 because the answer is mostly relevant but includes a closing sentiment ('Enjoy!') that doesn't directly address the prompt about what happens when the dough rises enough, lowering the overall relevancy score. However, the bulk of the response does answer the question, hence the relatively high score.","Když necháte těsto na mazanec dostatečně vykynout, bude v troubě držet tvar a nepotrhá se. U správně nakynutého mazance poznáte, že se těsto po lehkém stlačení prstem stále vrací zpět. Proces kynutí je důležitý pro spojení chutí a podporu prokvášení těsta, což mu dá energii a zajistí, že se později bude dobře zpracovávat. Nepodceňujte tedy zrání těsta! Dobrou chuť!","Pokud těsto důkladně vykynete, udrží tvar a nepotrhá se v troubě."
Jaké bylinky nebo koření mohu přidat do sekané pro vylepšení chuti?,test_case_75,True,0.7777777777777778,The score is 0.78 because the inclusion of irrelevant details like a description of cumin and a closing remark detracts from the overall focus on answering the question about herbs and spices for meatloaf.,"Do sekané můžete přidat tymián nebo červenou papriku, které jí dodají na chuti. Také můžete povrch sekané poklást plátky slaniny, pokud máte rádi kouřové aroma. Drcený kmín také dává sekané výraznější a lepší chuť než kupovaný mletý, takže je to další skvělá volba pro vylepšení chuti. Dobrou chuť!",Do sekané můžete přidat tymián nebo červenou papriku podle chuti.
Jaké koření mohu přidat do sekané pro zlepšení její chuti?,test_case_76,True,0.8571428571428571,"The score is 0.86 because while mostly relevant, the concluding remark detracts slightly from the overall focus on providing spice recommendations for meatloaf, but it is still a very good score!","Do sekané můžete přidat několik druhů koření a přísad pro vylepšení její chuti. Mletý nebo čerstvě drcený kmín je skvělý pro výraznější chuť. Další možností je přidání tymiánu nebo červené papriky. Můžete také povrch sekané poklást plátky slaniny pro zajímavější chuťový a vizuální efekt. Pokud máte rádi experimentování, zkuste do sekané vložit vejce uvařená natvrdo, což jí dodá zajímavou texturu. Dobrou chuť!",Do sekané můžeme přidat tymián nebo červenou papriku pro lepší chuť.
Jak se vytvoří uzavřená kapsa z alobalu a pečícího papíru?,test_case_77,True,0.6666666666666666,"The score is 0.67 because the response includes multiple statements indicating an inability to provide instructions, along with apologies and follow-up offers, rather than a direct answer to how to create a foil and parchment paper packet. However, it is not lower because it acknowledges the request.","Omlouvám se, ale v naší databázi receptů momentálně nemám konkrétní instrukce na vytvoření uzavřené kapsy z alobalu a pečícího papíru. Tato informace není z databáze receptů, ale mohu nabídnout obecnou radu: 

1. Položte dostatečně velký kus alobalu na pracovní plochu a na něj položte kousek pečícího papíru.
2. Umístěte suroviny do středu pečícího papíru.
3. Přeložte oba materiály přes suroviny tak, aby se jejich okraje setkávaly.
4. Okraje několikrát přeložte dohromady a vytvořte tak pevně uzavřenou kapsu, která bude držet vlhkost a páru uvnitř.

Pokud budete chtít více detailní postupy nebo návrhy receptů, dejte mi vědět!","Delší okraje alobalu s pečicím papírem se přiloží k sobě a několikrát přehnou. Stejně tak se několikrát přehnou boční strany, aby vznikla uzavřená kapsa."
"Mohu kuřecí játra nějak dochutit a pokud ano, jak?",test_case_78,True,1.0,"The score is 1.00 because there's nothing irrelevant presented, excellent!","Ano, kuřecí játra můžete dochutit několika způsoby. V rámci receptu ""Kuřecí játra na cibulce"" můžete přidat kmín – použijte kávovou lžičku kmínu a přidejte ho hned s cibulí. Další možností je přidat 100 ml koňaku před vývarem, a nechat ho chvíli odvařit, aby zůstal jen výrazný chuťový profil koňaku. Doufám, že vám tyto návrhy pomohou a že budete mít výsledek, který si užijete. Dobrou chuť!","Ano, játra je možné dochutit kmínem. Kávovou lžičku kmínu přidejte hned s cibulí."
Jaké koření se používá do bramboračky?,test_case_79,True,0.6,"The score is 0.60 because the response includes irrelevant pleasantries and recipe references, detracting from a focused answer on the specific spices used in bramboračka.","Do bramboračky podle receptu Romana Vaňka se používají následující koření: čerstvě drcený pepř, drcený kmín, a sušená majoránka. Dobrou chuť!",Do bramboračky se přidává drcený kmín.
Jaké koření se používá do bramboračky?,test_case_80,True,0.75,"The score is 0.75 because while the answer identifies spices used in bramboračka, it includes the irrelevant phrase ""Dobrou chuť! (Enjoy your meal!)"", which lowers the relevancy score as it is not a spice or related to the spices used.","Do bramboračky se používá čerstvě drcený pepř, sušená majoránka a drcený kmín. Dobrou chuť!",Do bramboračky se přidává drcený kmín.
Co všechno je potřeba smíchat pro přípravu marinády na vepřové kotlety na sladkokyselo?,test_case_81,True,0.9166666666666666,"The score is 0.92 because while the response is mostly relevant, the inclusion of 'Dobrou chut!' as part of the output introduces a minor element of irrelevance, preventing a perfect score. It still scores high as the main part of the response lists the marinade ingredients.","Pro přípravu marinády na vepřové kotlety na sladkokyselo smíchejte v misce následující ingredience: špetku soli, česnek nakrájený na jemné plátky, mleté chilli koření, kečup, med, pomerančový džus, balzamikový ocet a pomerančovou kůru. Dobrou chuť!","Pro přípravu marinády na vepřové kotlety na sladkokyselo je potřeba smíchat sůl, česnek, chilli, kečup, med, pomerančový džus, ocet a pomerančovou kůru."
Co všechno je potřeba smíchat pro přípravu marinády na vepřové kotlety na sladkokyselo?,test_case_82,True,0.9285714285714286,"The score is 0.93 because while the response primarily focuses on ingredients for the marinade, a concluding remark slightly detracts from the overall relevancy.","Abychom připravili marinádu na vepřové kotlety na sladkokyselo podle receptu ""Vepřové kotlety na sladkokyselo"" od Romana Vaňka, potřebujeme smíchat následující ingredience: 

- špetku soli
- česnek nakrájený na jemné plátky
- mleté chilli koření
- kečup
- med
- pomerančový džus
- balzamikový ocet
- pomerančovou kůru

Tuto směs dobře promíchejte v misce a poté použijte k zalití masa v pekáči. Dobrou chuť!","Pro přípravu marinády na vepřové kotlety na sladkokyselo je potřeba smíchat sůl, česnek, chilli, kečup, med, pomerančový džus, ocet a pomerančovou kůru."
Proč je důležité tepelně upravovat špenát krátce?,test_case_83,True,0.875,"The score is 0.88 because a concluding remark unrelated to the core question slightly detracts from the overall relevancy, but the main answer addresses the input well.","Je důležité tepelně upravovat špenát krátce, protože dlouhým vařením by špenát zešedl. Krátká tepelná úprava pomáhá zachovat jeho svěží zelenou barvu a zároveň uchovat více živin. Pokud špenát nebudete podávat hned, můžete do něj přidat trochu smetany, aby zůstal krásně zelený. Na doporučené množství stačí 80 ml smetany. Dobrou chuť!","Špenát se nesmí vařit příliš dlouho, protože by zešedl."
"Jak mám postupovat, aby si špenát udržel sytě zelenou barvu, pokud ho nebudu servírovat ihned?",test_case_84,True,0.75,"The score is 0.75 because the inclusion of 'enjoy your meal' detracts from the overall relevancy, as it's unrelated to the core task of preserving spinach's green color.","Pokud nebudete špenát podávat hned, přidejte do něj trochu smetany. Na výše zmíněné množství špenátu stačí 80 ml smetany. To pomůže špenátu zachovat jeho krásně zelenou barvu. Dobrou chuť!","Pokud špenát nebudete podávat hned, přidejte do něj trochu smetany, aby zůstal krásně zelený."
Jak se má špenát připravit před samotným vařením?,test_case_85,True,0.9,"The score is 0.90 because while the response is mostly relevant, including 'wishing someone 'enjoy your meal'' introduces a minor irrelevant element that reduces the score from being a perfect 1.0.","Před samotným vařením je třeba špenát důkladně připravit. Listy špenátu nejprve zbavte kořínků a stonků. Poté je důkladně několikrát properte ve studené vodě a nechte okapat. Špenát je nejlepší namočit do vyšší nádoby se studenou vodou, aby se mohla odplavit případná hlína či zrnka písku, která klesnou ke dnu, a vodu je třeba několikrát vyměnit. Doufám, že vám tento postup pomůže připravit špenát před vařením. Dobrou chuť!",Špenátové listy se musí před přípravou několikrát důkladně propláchnout ve studené vodě a nechat okapat.
Jak se upravuje vepřová plec před položením na cibuli v pekáči?,test_case_86,True,0.8888888888888888,"The score is 0.89 because the concluding remark, while not detracting significantly from the overall relevance, isn't part of the requested preparation steps.","Před položením na cibuli v pekáči se vepřová plec nakrájí na kostky o hraně 4 cm, důkladně osolí, opepří, potřeme ze všech stran prolisovaným česnekem a posypeme čerstvě drceným kmínem. Pak se na dno pekáče rozprostře cibule a na ni se položí maso. Dobrou chuť!","Vepřovou plec nakrájíme na kostky o hraně 4 cm, osolíme, opepříme, potřeme prolisovaným česnekem a posypeme drceným kmínem."
Jak se připravuje nízký roštěnec před uložením do lednice?,test_case_87,True,0.9090909090909091,"The score is 0.91 because the output included a conversational closing statement which is irrelevant, lowering the score slightly from a perfect 1.0.","Pro přípravu nízkého roštěnce před uložením do lednice postupujte takto:

1. Maso očistíme a odblaníme.
2. Svážeme ho kuchyňským provázkem, aby dostalo tvar válečku.
3. Důkladně osolíme a opepříme ze všech stran.
4. Potřeme hořčicí a pokapeme worcesterskou omáčkou.
5. Položíme maso na tác, přikryjeme potravinářskou fólií.
6. Necháme odležet přes noc v lednici a několikrát otočíme.

Pokud potřebujete další informace nebo postup, dejte mi vědět!","Před tím, než se nízký roštěnec dá do lednice, se očistí, odblaní a sváže kuchyňským provázkem, aby dostal tvar válečku. Poté se důkladně osolí, opepří a potřeme hořčicí. Nakonec se maso pokape worcesterskou omáčkou."
Jaký tvar by měl mít rostbíf a jak toho docílíme?,test_case_88,True,0.7777777777777778,"The score is 0.78 because the response includes elements that prompt further interaction rather than directly answering the question about the shape and preparation of roast beef, lowering its relevancy, but it still contains some relevant information.","Rostbíf by měl mít tvar válečku. Toho docílíme tím, že maso očistíme, odblaníme a svážeme kuchyňským provázkem, aby dostalo potřebný tvar. Důkladné svázání pomůže zajistit rovnoměrnou tepelnou úpravu a estetický vzhled po upečení. Pokud máte další dotazy ohledně přípravy rostbífu, dejte vědět!","Aby rostbíf získal tvar válečku, je potřeba ho svázat kuchyňským provázkem."
"Co mám udělat se sušenou majoránkou, pokud ji použiji místo čerstvé?",test_case_89,True,0.8333333333333334,"The score is 0.83 because a concluding remark, while not entirely derailing the response, introduces an element of irrelevance, preventing a higher score.","Pokud použijete sušenou majoránku místo čerstvé, je dobré ji promnout v dlaních. Tím se uvolní její aroma a bude vonět intenzivněji. Tento tip je uveden v receptu na jehněčí na majoránce s bramborovými noky. Dobrou chuť!","Místo čerstvé majoránky můžete použít 1 lžíci sušené majoránky, kterou ale musíte promnout v dlaních, aby víc voněla."
"Jak mám postupovat s majoránkou, když místo čerstvé použiji sušenou?",test_case_90,True,0.8,"The score is 0.80 because a concluding salutation was included, which doesn't address the method of using dried marjoram.","Pokud místo čerstvé majoránky používáte sušenou, doporučuji přidat 1 lžíci sušené majoránky a nezapomeňte ji promnout v dlaních před použitím. Tímto způsobem rozvoníte sušené bylinky a získáte bohatší chuť pokrmu. Dobrou chuť!","Pokud použijete suchou majoránku, nezapomeňte ji promnout v dlaních, aby voněla. Budete potřebovat 1 lžíci sušené majoránky."
S čím se obvykle podává hummus?,test_case_91,True,0.6666666666666666,"The score is 0.67 because a portion of the output expresses a general sentiment which, while pleasant, does not directly address the query about what hummus is served with. The score isn't lower because the primary part of the answer does address the question.","Hummus se obvykle podává s nachos, grissinami nebo slanými sušenkami. Můžete si ho vychutnat také s čerstvou zeleninou, pita chlebem nebo celozrnným pečivem. Dobrou chuť!","Hummus se podává s nachos, grissinami nebo slanými sušenkami."
S čím mohu podávat hummus?,test_case_92,True,0.75,"The score is 0.75 because while the response likely offers relevant suggestions for serving hummus, the inclusion of 'Dobrou chuť! (Bon appétit!)' introduces an irrelevant element, preventing a perfect score.","Hummus můžete podávat s nachos, grissinami nebo slanými sušenkami. Dobrou chuť!","Hummus můžete podávat s nachos, grissinami nebo slanými sušenkami."
Jak mám nakrájet česnek a cibuli před smícháním surovin na vepřový karbanátek?,test_case_93,True,0.5,"The score is 0.50 because while some useful information might be present, the inclusion of irrelevant conversational phrases like 'Dobrou chuť!' detracts from the directness and focus of the cooking instructions, lowering the relevance score significantly.",Před smícháním surovin na vepřový karbanátek česnek a cibuli nakrájejte najemno. Dobrou chuť!,Před smícháním všech surovin je potřeba nakrájet česnek a cibuli najemno.
Kolik soli a pepře se přidává do mletého masa na karbanátky?,test_case_94,True,0.6666666666666666,"The score is 0.67 because the output likely contained irrelevant pleasantries, lowering the relevancy, but it still provided some relevant information about salt and pepper amounts.",Do mletého masa na karbanátky se přidává 1 lžička soli a půl lžičky čerstvě mletého pepře. Dobrou chuť!,Do mletého masa je vhodné přidat jednu lžičku soli a půl lžičky čerstvě mletého pepře.
S čím se doporučuje podávat telecí na žampionech?,test_case_95,True,0.75,"The score is 0.75 because the response includes an irrelevant pleasantry, but otherwise directly addresses the request about serving suggestions.","Telecí na žampionech se doporučuje podávat s dušenou rýží, širokými nudlemi či šunkovým knedlíčkem. Dobrou chuť!","Doporučuje se podávat telecí na žampionech s dušenou rýží, širokými nudlemi nebo šunkovým knedlíčkem."
S čím se telecí na paprice doporučuje podávat?,test_case_96,True,0.75,"The score is 0.75 because while the answer addresses the input question about what to serve with veal paprikash, the inclusion of niceties like ""Enjoy your meal!"" detracts slightly from the core relevance, preventing a higher score.","Telecí na paprice se doporučuje podávat s špeclemi, širokými nudlemi nebo dušenou rýží. Dobrou chuť!","K telecímu na paprice se skvěle hodí špecle, široké nudle nebo dušená rýže."
Čím se vyznačuje speciální palačinková pánev?,test_case_97,True,0.8571428571428571,"The score is 0.86 because the inclusion of closing remarks that aren't features of the pan detracts slightly from the overall relevance. However, the core content is relevant, preventing a lower score.","Speciální palačinková pánev se vyznačuje nepřilnavým povrchem a nízkými zkosenými okraji, což usnadňuje smažení palačinek tak, aby se nepřichytávaly a šly velmi dobře obrátit. Dobrou chuť při pečení!",Speciální palačinková pánev má nepřilnavý povrch a nízké zkosené okraje.
Jak se podávají hotové palačinky?,test_case_98,True,0.8,"The score is 0.80 because including niceties like ""Enjoy your meal!"" detracts slightly from the core task of explaining how to serve pancakes, but the main instructions are relevant.","Hotové palačinky se skládají na talíř, pomažou marmeládou, zatočí do ruličky a posypou moučkovým cukrem. Dobrou chuť!","Hotové palačinky se skládají na talíř, potírají se marmeládou, zatočí do ruličky a posypou moučkovým cukrem."
"Proč je důležité, aby se těsto na buchtičky důkladně propracovalo?",test_case_99,True,0.8888888888888888,"The score is 0.89 because while the answer is mostly relevant, the concluding remark detracts slightly from the overall relevancy, preventing a higher score.","Je důležité, aby se těsto na buchtičky důkladně propracovalo, protože tím se do něj dostane vzduch, což pomůže správnému kynutí. Když těsto propracujete vařečkou tak, aby bylo nadlehčené, začne se po chvilce samo odlepovat od stěn mísy. To je známka, že je těsto správně připravené a k. Dobře propracované těsto zajišťuje jemnější strukturu a lepší konečný výsledek při pečení. Dobrou chuť!","Těsto na buchtičky se musí důkladně propracovat, aby se do něj dostal vzduch."
"Jak poznám, že je těsto na dukátové buchtičky hotové?",test_case_100,True,0.8333333333333334,"The score is 0.83 because the concluding remark detracts slightly from the answer's focus on determining dough readiness, but overall the response is still largely relevant.","Těsto na dukátové buchtičky poznáte, že je hotové tím, že se po chvilce začne samo odlepovat od stěn mísy. Je důležité těsto důkladně propracovat – vařečkou ho musíte jakoby nadlehčit, aby se do něj dostal vzduch. Poté těsto nechte asi 1 hodinu kynout na teplém místě, dokud alespoň nezdvojnásobí svůj objem. Dobrou chuť!",Těsto na dukátové buchtičky by mělo hladké a mělo by se odlepovat od stěn mísy.
Jaká bylinka se přidává do šunkofleků?,test_case_101,True,0.5,"The score is 0.50 because the inclusion of 'Dobrou chut!' while polite, is irrelevant to identifying the herb in sunkofleky.",Do šunkofleků se přidává plocholistá petržel. Dobrou chuť!,Do šunkofleků se přidává nakrájená petržel.
Kolik soli se přidává do šunkofleků?,test_case_102,True,0.6666666666666666,"The score is 0.67 because the response contains a generic closing statement that doesn't directly relate to the specific question about the amount of salt in ""šunkfleky"".","Do šunkofleků se přidává 1 lžička soli při smíchání fleků s uzeným masem, petrželí, česnekem, a pepřem. Pokud potřebujete další informace, dejte mi vědět!",Do šunkofleků se vmíchá 1 lžička soli.
"Jak poznám, že je těsto na štrúdl správně propracované?",test_case_103,False,0.07692307692307693,"The score is 0.08 because the output consists almost entirely of recipe steps rather than ways to assess if the dough is ready, leading to extensive irrelevance.","Těsto na štrúdl je správně propracované, když je hladké, lesklé a přestane se lepit. Nejprve mouku prosejte na pracovní plochu, udělejte důlek a přidejte vejce, olej, trochu teplé vody a sůl. Mouku postupně přisívejte k důlku a vypracovávejte těsto. Pokud je příliš tuhé, přidejte vodu, pokud je příliš řídké, přidejte mouku. Pracujte s těstem, dokud nedosáhnete požadované konzistence. Pak z něj vytvořte bochánek, zabalte do fólie a nechte 30 minut odpočinout v lednici. Dobrou chuť!","Těsto se propracovává tak dlouho, dokud není hladké, lesklé a nepřestane lepit."
